ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Custom.AutomationSstatus,Custom.TipodePruebas,Area Path,Assigned To,State
,Test Case,consultar el sitio web the https://qainterview.pythonanywhere.com/,,,,Pendiente,Funcional,pythonanywhere,RafaelREyesE,Design
,,,1,validar url https://qainterview.pythonanywhere.com/,se visualiza el sitio web,,,,,
,,,2,validar cantidad de  digios  que acepta,NO se vizualiza resputa,,,,,
,,,2,insertar letras,se despliga un mesaje please enter an integer,,,,,
,,,3,dar click en carcular factorial ,se despliga un mesaje please enter an integer,,,,,
,,,4,insertare numero para calcular el factorial,se coloca el nuemro entero,,,,,
,,,5,Dar click el boton calcular ,se  despliga el resultado 4 is: 24,,,,,
,,,6,colocar nueros desimales ,se despliga un mesaje please enter an integer,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Design
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Design
